"GYLDIGE STEMMER I ALT",3531720
"A. Socialdemokratiet",914882
"B. Radikale Venstre",304714
"C. Det Konservative Folkeparti",233865
"D. Nye Borgerlige",83201
"E. Klaus Riskær Pedersen",29600
"F. SF - Socialistisk Folkeparti",272304
"I. Liberal Alliance",82270
"K. Kristendemokraterne",60944
"O. Dansk Folkeparti",308513
"P. Stram Kurs",63114
"V. Venstre, Danmarks Liberale Parti",826161
"Ø. Enhedslisten - De Rød-Grønne",245100
"Å. Alternativet",104278
"Kandidater uden for partierne i alt",2774
"GYLDIGE BREVSTEMMER I ALT",298612
"UGYLDIGE STEMMER I ALT (1+2)",37801
"ANTAL VÆLGERE",4219537
"STEMMER I ALT",3569521
